90593,2023/03/06 07:42:34,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Low BER,Alarm,MINOR,ALARM,,
90592,2023/03/06 07:42:32,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90591,2023/03/06 07:42:31,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90590,2023/03/06 07:42:28,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90589,2023/03/06 07:42:25,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,32QAM,INFORMATION,STATUS,,
90588,2023/03/06 07:42:24,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,16QAM,INFORMATION,STATUS,,
90587,2023/03/06 07:42:09,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,TX Modulation,128QAM,INFORMATION,STATUS,,
90586,2023/03/06 07:42:04,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,16QAM,INFORMATION,STATUS,,
90585,2023/03/06 07:42:04,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90584,2023/03/06 07:42:03,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,QPSK,INFORMATION,STATUS,,
90583,2023/03/06 07:42:03,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90582,2023/03/06 07:42:02,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,32QAM,INFORMATION,STATUS,,
90581,2023/03/06 07:42:02,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90580,2023/03/06 07:42:01,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90579,2023/03/06 07:42:00,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90578,2023/03/06 07:41:59,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,32QAM,INFORMATION,STATUS,,
90577,2023/03/06 07:41:59,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90576,2023/03/06 07:41:58,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90575,2023/03/06 07:41:56,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,TX Modulation,256QAM,INFORMATION,STATUS,,
90574,2023/03/06 07:41:56,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90573,2023/03/06 07:41:55,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,64QAM,INFORMATION,STATUS,,
90572,2023/03/06 07:41:55,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90571,2023/03/06 07:41:51,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,64QAM,INFORMATION,STATUS,,
90570,2023/03/06 07:41:51,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90569,2023/03/06 07:41:51,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90568,2023/03/06 07:41:48,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90567,2023/03/06 07:41:40,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,128QAM,INFORMATION,STATUS,,
90566,2023/03/06 07:41:40,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90565,2023/03/06 07:41:36,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90564,2023/03/06 07:41:13,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,256QAM,INFORMATION,STATUS,,
90563,2023/03/06 07:40:45,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,128QAM,INFORMATION,STATUS,,
90562,2023/03/06 07:40:39,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,128QAM,INFORMATION,STATUS,,
90561,2023/03/06 07:40:16,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,TX Modulation,512QAM,INFORMATION,STATUS,,
90560,2023/03/06 07:40:13,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,TX Modulation,256QAM,INFORMATION,STATUS,,
90559,2023/03/06 07:40:13,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90558,2023/03/06 07:40:12,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90557,2023/03/06 07:40:09,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,64QAM,INFORMATION,STATUS,,
90556,2023/03/06 07:40:08,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90555,2023/03/06 07:40:03,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90554,2023/03/06 07:40:00,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90553,2023/03/06 07:39:57,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90552,2023/03/06 07:39:55,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,128QAM,INFORMATION,STATUS,,
90551,2023/03/06 07:39:55,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90550,2023/03/06 07:39:54,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,64QAM,INFORMATION,STATUS,,
90549,2023/03/06 07:39:54,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90548,2023/03/06 07:39:45,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90547,2023/03/06 07:39:45,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90546,2023/03/06 07:39:40,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,128QAM,INFORMATION,STATUS,,
90545,2023/03/06 07:39:40,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90544,2023/03/06 07:39:37,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,256QAM,INFORMATION,STATUS,,
90543,2023/03/06 07:39:37,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90542,2023/03/06 07:39:37,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
